account_id,name,delivery_address,phone_number,device_fingerprint,payout_account,ip_address,account_age_days,ground_truth_group,ground_truth_id
ACC00117,Aditya Sharma,"House 652257, Block 746, Lake View, Pune - 411341",+91-7503912371,DEV-Android-13-874720876257,5850475895@upi,183.115.208.11,84,background,
ACC00118,Saanvi Reddy,"House 737797, Block 587, Ring Road, Chennai - 600326",+91-9256928131,DEV-iOS-18-775239389152,BANKACC-4311139061,104.104.55.159,188,background,
ACC00119,Isha Kumar,"House 118911, Block 759, MG Road, Ludhiana - 141336",+91-7528824605,DEV-Android-14-840796860525,9913496115@upi,89.217.34.250,588,background,
ACC00120,Sai Chatterjee,"House 392918, Block 184, Lake View, Ludhiana - 141952",+91-9926696012,DEV-macOS-15-273070611131,BANKACC-6904664911,50.241.73.64,661,background,
ACC00121,Aarav Joshi,"House 550908, Block 384, Lake View, Ahmedabad - 380370",+91-9131551772,DEV-Android-13-144513223431,BANKACC-5375728680,134.157.66.73,377,background,
ACC00122,Krishna Kumar,"House 826610, Block 348, Sector 12, Bengaluru - 560157",+91-8156077912,DEV-Android-14-569726623691,6076856232@upi,70.163.172.214,60,background,
ACC00123,Ananya Sharma,"House 212277, Block 597, Lake View, Mumbai - 400772",+91-8938880033,DEV-Android-14-901237565640,5284825809@upi,105.214.238.121,54,background,
ACC00124,Ananya Kapoor,"House 585771, Block 463, Park Street, Hyderabad - 500300",+91-9038512428,DEV-Android-14-189241273538,4804606308@upi,46.132.44.20,122,background,
ACC00125,Isha Agarwal,"House 320397, Block 344, Station Road, Bengaluru - 560244",+91-7165857263,DEV-iOS-17-338326459589,BANKACC-2848512678,136.204.226.9,836,background,
ACC00126,Karan Verma,"House 107403, Block 51, Park Street, Ahmedabad - 380459",+91-8858646658,DEV-Android-13-867144086136,BANKACC-8378279723,168.176.134.37,897,background,
ACC00127,Aadhya Sharma,"House 401265, Block 63, Station Road, Delhi - 110467",+91-9845817773,DEV-iOS-18-825571868899,BANKACC-9807707294,38.83.127.135,444,background,
ACC00128,Ishaan Chauhan,"House 380732, Block 804, Station Road, Ludhiana - 141794",+91-8754152314,DEV-Android-13-388977063770,1929551311@upi,43.203.220.8,530,background,
ACC00129,Neha Reddy,"House 408669, Block 439, Civil Lines, Kolkata - 700799",+91-8899344113,DEV-macOS-15-939501657690,BANKACC-3963362136,87.69.115.246,511,background,
ACC00130,Diya Bose,"House 658753, Block 350, Sector 12, Delhi - 110369",+91-7962197320,DEV-iOS-17-440733508803,BANKACC-2494563691,22.127.184.246,350,background,
ACC00131,Simran Kapoor,"House 562672, Block 757, Green Avenue, Ahmedabad - 380531",+91-7772257356,DEV-Windows-11-934754373661,7020528930@upi,133.253.13.167,851,background,
ACC00132,Simran Reddy,"House 923899, Block 920, Sector 12, Bengaluru - 560977",+91-7013865494,DEV-Android-13-712376925102,BANKACC-1238791934,125.85.189.39,767,background,
ACC00133,Krishna Bose,"House 465757, Block 452, MG Road, Delhi - 110567",+91-9359894263,DEV-Android-14-890887257803,BANKACC-6085701195,83.14.68.171,145,background,
ACC00134,Aadhya Kumar,"House 496590, Block 215, Sector 12, Bengaluru - 560240",+91-9896116903,DEV-macOS-15-870077909531,BANKACC-6348454248,42.245.223.147,337,background,
ACC00135,Vihaan Gupta,"House 810962, Block 505, Civil Lines, Pune - 411244",+91-8693167426,DEV-macOS-15-646490287444,BANKACC-4329859310,95.32.106.33,107,background,
ACC00136,Tanvi Kumar,"House 837716, Block 69, Ring Road, Delhi - 110705",+91-7911375744,DEV-macOS-15-121573319975,BANKACC-5173081431,116.110.175.147,147,background,
ACC00137,Riya Pillai,"House 62930, Block 604, Hill Road, Kolkata - 700785",+91-7120262308,DEV-iOS-17-570025804583,BANKACC-2256612887,48.146.48.125,310,background,
ACC00138,Sai Verma,"House 947318, Block 199, Civil Lines, Chennai - 600224",+91-9426847340,DEV-macOS-15-172661752002,BANKACC-8842681779,145.225.161.92,386,background,
ACC00139,Arjun Chatterjee,"House 35899, Block 205, Sector 12, Pune - 411368",+91-9980553067,DEV-macOS-15-136359305957,3715883799@upi,157.133.230.99,41,background,
ACC00140,Rohan Bhatt,"House 837475, Block 910, Park Street, Ahmedabad - 380282",+91-7179410426,DEV-macOS-15-240181903876,BANKACC-9241703719,119.222.144.180,358,background,
ACC00141,Siddharth Chatterjee,"House 63118, Block 172, Hill Road, Ludhiana - 141288",+91-7931981214,DEV-Android-14-357442571656,1848574481@upi,215.171.221.33,637,background,
ACC00142,Priya Patel,"House 975896, Block 618, Lake View, Bengaluru - 560361",+91-9830066372,DEV-Android-13-816209708649,5891460355@upi,122.246.229.55,874,background,
ACC00143,Aadhya Singh,"House 482938, Block 456, Civil Lines, Ahmedabad - 380861",+91-8158935192,DEV-iOS-17-452356157515,1696924767@upi,20.144.198.184,402,background,
ACC00144,Sai Bhatt,"House 612220, Block 87, MG Road, Jaipur - 302314",+91-7472587431,DEV-Android-14-978162421949,BANKACC-5641801086,49.169.238.221,879,background,
ACC00145,Vivaan Kapoor,"House 49118, Block 355, Park Street, Chennai - 600931",+91-7189923356,DEV-Android-14-611712743232,5834969952@upi,203.168.159.202,182,background,
ACC00146,Myra Patel,"House 617788, Block 651, Lake View, Jaipur - 302624",+91-9846421483,DEV-iOS-17-181521152681,4940574090@upi,51.158.241.215,341,background,
ACC00147,Rohan Kumar,"House 540476, Block 423, Park Street, Bengaluru - 560615",+91-7962126703,DEV-iOS-18-705568055215,3057810423@upi,97.195.184.229,152,background,
ACC00148,Varun Bhatt,"House 187904, Block 821, Park Street, Ahmedabad - 380588",+91-8492857796,DEV-iOS-18-557373623299,BANKACC-9953334034,97.25.124.130,430,background,
ACC00149,Meera Chatterjee,"House 66826, Block 733, Sector 12, Ludhiana - 141240",+91-7683874770,DEV-iOS-18-145750115753,BANKACC-5221045710,218.126.228.72,428,background,
ACC00150,Varun Verma,"House 822212, Block 719, Model Town, Jaipur - 302746",+91-9345191304,DEV-iOS-17-674143069821,6679588985@upi,191.76.88.111,596,background,
ACC00151,Siddharth Pillai,"House 960586, Block 704, Station Road, Ludhiana - 141598",+91-8275266618,DEV-Windows-11-555186083267,5137385179@upi,164.135.54.152,670,background,
ACC00152,Ananya Gupta,"House 198584, Block 374, Model Town, Pune - 411113",+91-9241730215,DEV-macOS-15-345327847674,BANKACC-9604419934,25.204.39.72,178,background,
ACC00153,Diya Nair,"House 529391, Block 189, Lake View, Pune - 411726",+91-9281525252,DEV-Windows-11-257662511070,BANKACC-5305644334,80.204.37.99,246,background,
ACC00154,Krishna Iyer,"House 127276, Block 706, Sector 12, Pune - 411828",+91-9115023413,DEV-Android-13-533010791586,7731911159@upi,174.27.207.53,403,background,
ACC00155,Aadhya Patel,"House 240753, Block 339, Station Road, Delhi - 110181",+91-7529030820,DEV-iOS-17-452854020173,BANKACC-7766026382,54.44.80.47,246,background,
ACC00156,Ananya Gupta,"House 438821, Block 700, Station Road, Mumbai - 400859",+91-8107791070,DEV-Android-14-786839940837,5481386674@upi,207.160.163.6,780,background,
ACC00157,Riya Chauhan,"House 613516, Block 441, Lake View, Hyderabad - 500831",+91-9725755384,DEV-Windows-11-514838251965,BANKACC-1142249998,19.148.121.119,445,background,
ACC00158,Kiara Chatterjee,"House 568167, Block 762, Sector 12, Hyderabad - 500641",+91-9509799055,DEV-Android-13-302659899494,8630531804@upi,177.196.253.169,785,background,
ACC00159,Vihaan Agarwal,"House 314348, Block 128, Civil Lines, Bengaluru - 560748",+91-7804283996,DEV-iOS-18-944924818785,6013016036@upi,77.156.75.55,153,background,
